Title|Year|Genre|Avg Ratings|Votes|Gross
Rosie|(I) (2018)|Drama|7.0|1,693|$0.01M
The Beach Bum|(2019)|Comedy|5.5|20,796|$3.49M
Peppermint|(2018)|Action,Crime,Drama|6.5|61,687|$35.42M
Stella's Last Weekend|(2018)|Comedy,Drama|6.5|939|$0.00M
The Ballad of Buster Scruggs|(2018)|Comedy,Drama,Musical|7.3|134,605|
What Men Want|(2019)|Comedy,Fantasy,Romance|5.3|26,843|$54.61M
White Rabbit|(I) (2018)|Comedy,Drama|5.8|348|
Ride|(III) (2018)|Thriller|4.7|3,386|
Captain Marvel|(2019)|Action,Adventure,Sci-Fi|6.8|497,400|$426.83M
The New Romantic|(2018)|Comedy,Drama,Romance|5.7|2,129|
Better Start Running|(2018)|Action,Comedy|5.2|835|
The Upside|(2017)|Comedy,Drama|7.0|52,583|$108.25M
Madame|(2017)|Comedy,Drama,Romance|6.1|7,092|
A Star Is Born|(2018)|Drama,Music,Romance|7.6|358,422|$215.29M
Aladdin|(2019)|Adventure,Comedy,Family|6.9|246,590|$355.56M
The Kid Who Would Be King|(2019)|Action,Adventure,Family|6.0|15,819|$16.79M
Mid90s|(2018)|Comedy,Drama|7.4|57,030|$7.36M
Juliet, Naked|(2018)|Comedy,Drama,Music|6.6|21,545|$3.44M
Isn't It Romantic|(2019)|Comedy,Fantasy,Musical|5.9|66,737|$48.79M
Five Feet Apart|(2019)|Drama,Romance|7.2|55,871|$45.73M
Spies in Disguise|(2019)|Animation,Action,Adventure|6.8|43,015|
The Princess Switch|(2018)|Comedy,Drama,Family|6.1|24,474|
Missing Link|(2019)|Animation,Adventure,Comedy|6.7|24,376|$16.65M
Toy Story 4|(2019)|Animation,Adventure,Comedy|7.7|225,144|$434.04M
Pokémon Detective Pikachu|(2019)|Action,Adventure,Comedy|6.6|151,025|$144.11M
Fighting with My Family|(2019)|Biography,Comedy,Drama|7.1|75,129|$22.96M
Dumplin'|(2018)|Comedy,Drama|6.6|31,429|
In a Relationship|(2018)|Comedy,Drama|5.6|2,430|
Replicas|(2018)|Drama,Sci-Fi,Thriller|5.5|35,641|$4.05M
After|(I) (2019)|Drama,Romance|5.3|47,347|$12.14M
The Healer|(IV) (2016)|Comedy,Drama,Family|6.3|7,105|
A Dog's Way Home|(2019)|Adventure,Drama,Family|6.7|16,665|$41.95M
Happy Death Day 2U|(2019)|Comedy,Horror,Mystery|6.2|67,610|$28.05M
I Still See You|(2018)|Fantasy,Horror,Sci-Fi|5.8|9,444|
Time Freak|(2018)|Comedy,Drama,Romance|5.8|8,346|$0.01M
Jonathan|(2018)|Drama,Sci-Fi|5.9|5,921|
Brightburn|(2019)|Drama,Horror,Mystery|6.1|90,100|$17.30M
Bird Box|(2018)|Horror,Sci-Fi|6.6|307,362|
Then Came You|(2018)|Adventure,Comedy,Drama|7.0|11,615|
A Simple Favor|(2018)|Comedy,Crime,Mystery|6.8|140,062|$53.55M
Men in Black: International|(2019)|Action,Adventure,Comedy|5.6|124,203|$80.00M
Greta|(2018)|Drama,Mystery,Thriller|6.0|31,419|$10.52M
Bad Times at the El Royale|(2018)|Crime,Drama,Mystery|7.1|139,293|$17.84M
Won't You Be My Neighbor?|(2018)|Documentary,Biography|8.4|24,645|$22.84M
Mission: Impossible - Fallout|(2018)|Action,Adventure,Thriller|7.7|309,979|$220.16M
Us|(II) (2019)|Horror,Mystery,Thriller|6.8|260,542|$175.08M
Black Mirror: Bandersnatch|(2018)|Drama,Fantasy,Mystery|7.1|120,376|
Teen Spirit|(2018)|Drama,Music|6.1|8,432|$0.44M
Escape Room|(I) (2019)|Action,Adventure,Horror|6.4|108,317|$57.01M
The Lion King|(2019)|Animation,Adventure,Drama|6.8|228,074|$543.64M
Joker|(2019)|Crime,Drama,Thriller|8.4|1,087,658|$335.45M
Spider-Man: Into the Spider-Verse|(2018)|Animation,Action,Adventure|8.4|434,321|$190.24M
Spider-Man: Far from Home|(2019)|Action,Adventure,Sci-Fi|7.4|387,222|$390.53M
Anthem of a Teenage Prophet|(2018)|Drama|5.4|481|
Ghostbusters: Afterlife|(2021)|Comedy,Fantasy|7.9|376|
Five Feet Apart|(2019)|Drama,Romance|7.2|55,871|$45.73M
The Prodigy|(2019)|Fantasy,Horror,Mystery|5.9|25,017|$14.86M
Birds of Prey|(2020)|Action,Adventure,Comedy|6.1|212,769|$84.16M
Extremely Wicked, Shockingly Evil and Vile|(2019)|Biography,Crime,Drama|6.7|86,942|
Nancy Drew and the Hidden Staircase|(2019)|Comedy,Crime,Drama|5.8|4,433|
The Divorce Party|(2019)|Comedy,Family,Romance|5.1|648|
A Dog's Journey|(2019)|Adventure,Comedy,Drama|7.5|22,301|$22.78M
The Breaker Upperers|(2018)|Comedy|5.9|5,808|
Scary Stories to Tell in the Dark|(2019)|Adventure,Horror,Mystery|6.2|69,788|$62.74M
Giant Little Ones|(2018)|Drama|7.2|7,408|$0.18M
Child's Play|(2019)|Drama,Horror,Sci-Fi|5.7|48,931|$29.21M
Pet Sematary|(2019)|Horror,Mystery,Thriller|5.7|88,699|$54.72M
Walk. Ride. Rodeo.|(2019)|Biography,Drama|6.4|2,210|
Frozen II|(2019)|Animation,Adventure,Comedy|6.8|153,870|$477.37M
Tolkien|(2019)|Biography,Drama,Romance|6.8|37,131|$4.54M
The Hustle|(I) (2019)|Comedy,Crime|5.4|53,492|$35.42M
Long Shot|(2019)|Comedy,Romance|6.8|104,331|$30.32M
Making Babies|(2018)|Comedy|5.6|673|
The Kid|(II) (2019)|Biography,Drama,Western|5.9|7,824|$1.51M
Her Smell|(2018)|Drama,Music|5.9|6,294|$0.26M
Midsommar|(2019)|Drama,Horror,Mystery|7.1|260,990|$27.33M
Booksmart|(2019)|Comedy|7.2|107,668|$22.68M
Good Boys|(I) (2019)|Adventure,Comedy|6.7|69,416|$69.06M
Hearts Beat Loud|(2018)|Comedy,Drama,Music||10,609|$2.39M
Once Upon a Time... In Hollywood|(2019)|Comedy,Drama||648,076|$142.50M
Unicorn Store|(2017)|Comedy,Drama,Fantasy|5.5|18,679|
Annabelle Comes Home|(2019)|Horror,Mystery,Thriller|5.9|68,453|$74.15M
The Perfect Date|(I) (2019)|Comedy,Romance|5.8|36,289|
I Think We're Alone Now|(2018)|Drama,Mystery,Sci-Fi|5.7|8,950|
JT LeRoy|(2018)|Biography,Drama|5.4|2,258|
My Spy|(2020)|Action,Comedy|6.4|27,750|
Never Goin' Back|(2018)|Comedy,Crime,Drama|6.0|2,868|$0.06M
Last Christmas|(2019)|Comedy,Drama,Fantasy|6.5|61,771|
William|(I) (2019)|Adventure,Drama,Family|5.6|499|
Daddy Issues|(I) (2018)|Drama,Romance|4.2|726|
Little Italy|(2018)|Comedy,Romance|5.7|13,300|$0.99M
Someone Great|(2019)|Comedy,Romance|6.2|20,294|
The Curse of La Llorona|(2019)|Horror,Mystery,Thriller|5.3|45,811|$54.73M
The Perfection|(2018)|Drama,Horror,Music|6.2|39,935|
The Last Summer|(2019)|Comedy,Romance|5.6|12,458|
See You Yesterday|(2019)|Action,Adventure,Crime|5.2|10,321|
Gemini Man|(2019)|Action,Drama,Sci-Fi|5.7|104,248|$20.55M
Breakthrough|(2019)|Biography,Drama|6.3|9,182|$40.71M
Murder Mystery|(2019)|Action,Comedy,Crime|6.0|114,335|
My Days of Mercy|(2017)|Drama,Romance|6.5|4,159|
Sonic the Hedgehog|(2020)|Action,Adventure,Comedy|6.5|107,804|$148.97M
Late Night|(2019)|Comedy,Drama|6.5|34,471|$15.50M
Crawl|(I) (2019)|Action,Horror,Thriller|6.1|78,488|$39.01M
Rim of the World|(2019)|Action,Adventure,Comedy|5.2|23,098|
iBoy|(2017)|Action,Crime,Sci-Fi|6.0|22,080|
The Art of Racing in the Rain|(2019)|Comedy,Drama,Romance|7.6|28,199|$25.50M
The Woman in the Window|(2021)|Crime,Drama,Mystery|5.7|63,872|
Mulan|(2020)|Action,Adventure,Drama|5.7|137,262|
Onward|(I) (2020)|Animation,Adventure,Comedy|7.4|127,896|$61.56M
Artemis Fowl|(2020)|Adventure,Family,Fantasy|4.2|26,131|
The One and Only Ivan|(2020)|Adventure,Comedy,Drama|6.6|11,413|
Cruella|(2021)|Adventure,Comedy,Crime|7.4|182,334|
Avatar 2|(2022)|Action,Adventure,Sci-Fi|||
Avatar 3|(2024)|Action,Adventure,Fantasy|||
Avatar 4|(2026)|Action,Adventure,Fantasy|||
Avatar 5|(2028)|Action,Adventure,Drama|||
Trolls World Tour|(2020)|Animation,Adventure,Comedy|6.1|20,535|
Summer Night|(2019)|Comedy,Drama|4.8|940|
Being Frank|(2018)|Comedy|6.1|1,459|$0.07M
I Am Mother|(2019)|Drama,Mystery,Sci-Fi|6.7|84,021|
It Chapter Two|(2019)|Drama,Fantasy,Horror|6.5|234,682|$211.59M
Scoob!|(2020)|Animation,Adventure,Comedy|5.7|23,925|
